New Experiment - Num episodes: 500
iteration, action, basal, carb, reward
416, 2, 5, 25, -529.5
417, 5, 5, 25, -529.5
418, 5, 5, 25, -529.5
419, 5, 5, 25, -529.5
420, 2, 5, 20, -529.5
421, 5, 5, 20, -529.5
422, 5, 5, 20, -529.5
423, 5, 5, 20, -529.5
424, 2, 5, 15, -529.5
425, 2, 5, 10, -529.5
426, 1, 5, 5, -529.5
427, 2, 5, 5, -529.5
428, 3, 4.7, 5, -527.0
429, 3, 4.4, 5, -513.5
430, 3, 4.1000000000000005, 5, -482.5
431, 2, 4.4, 5, -513.5
432, 4, 4.4, 5, -513.5
433, 8, 4.7, 10, -525.0
434, 8, 5, 15, -529.5
435, 7, 5, 20, -529.5
436, 3, 4.7, 20, -519.5
437, 8, 5, 25, -529.5
438, 8, 5, 30, -529.5
439, 2, 5, 25, -529.5
440, 2, 5, 20, -529.5
441, 5, 5, 20, -529.5
442, 2, 5, 15, -529.5
443, 4, 5, 15, -529.5
444, 7, 5, 20, -529.5
445, 4, 5, 20, -529.5
446, 2, 5, 15, -529.5
447, 2, 5, 10, -529.5
448, 2, 5, 5, -529.5
449, 1, 5, 5, -529.5
450, 2, 5, 5, -529.5
451, 2, 5, 5, -529.5
452, 2, 5, 5, -529.5
453, 4, 5, 5, -529.5
454, 2, 5, 5, -529.5
455, 4, 5, 5, -529.5
456, 4, 5, 5, -529.5
457, 2, 5, 5, -529.5
458, 2, 5, 5, -529.5
459, 2, 5, 5, -529.5
460, 1, 5, 5, -529.5
461, 1, 5, 5, -529.5
462, 4, 5, 5, -529.5
463, 4, 5, 5, -529.5
464, 2, 5, 5, -529.5
465, 2, 5, 5, -529.5
466, 2, 5, 5, -529.5
467, 8, 5, 10, -529.5
468, 8, 5, 15, -529.5
469, 2, 5, 10, -529.5
470, 8, 5, 15, -529.5
471, 5, 5, 15, -529.5
472, 8, 5, 20, -529.5
473, 2, 5, 15, -529.5
474, 5, 5, 15, -529.5
475, 2, 5, 10, -529.5
476, 0, 4.7, 5, -527.0
